	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
Isoleucine 2-epimerase	3	21	32	47	2	100	100	100	100	100	Isoleucine 2-epimerase	1	1
Isoleucine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Isoleucine--tRNA ligase	1	1
Isopentenyl-diphosphate delta-isomerase	3	21	32	47	2	100	100	100	100	100	Isopentenyl-diphosphate delta-isomerase	1	1
Isoprenyl transferase	3	21	32	47	2	100	100	100	100	100	Isoprenyl transferase	1	1
KDP operon transcriptional regulatory protein KdpE	3	21	32	47	2	100	100	100	100	100	KDP operon transcriptional regulatory protein KdpE	1	1
Ketol-acid reductoisomerase (NADP( ))	3	21	32	47	2	100	100	100	100	100	Ketol-acid reductoisomerase (NADP( ))	1	1
Kinase A inhibitor	3	21	32	47	2	100	100	100	100	100	Kinase A inhibitor	1	1
Kinase-associated lipoprotein B	3	21	32	47	2	100	100	100	100	100	Kinase-associated lipoprotein B	1	1
KipI antagonist	3	21	32	47	2	100	100	100	100	100	KipI antagonist	1	1
Ktr system potassium uptake protein A	3	21	32	47	2	100	100	100	100	100	Ktr system potassium uptake protein A	1	1
Ktr system potassium uptake protein B	3	21	32	47	2	100	100	100	100	100	Ktr system potassium uptake protein B	1	1
Kynurenine formamidase	3	21	32	47	2	100	100	100	100	100	Kynurenine formamidase	1	1
L-carnitine dehydrogenase	3	21	32	47	2	100	100	100	100	100	L-carnitine dehydrogenase	1	1
L-cystine import ATP-binding protein TcyC	3	21	32	47	2	100	100	100	100	100	L-cystine import ATP-binding protein TcyC	1	1
L-cystine transport system permease protein TcyB	3	21	32	47	2	100	100	100	100	100	L-cystine transport system permease protein TcyB	1	1
L-cystine uptake protein TcyP	3	21	32	47	2	100	100	100	100	100	L-cystine uptake protein TcyP	1	1
L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	3	21	32	47	2	100	100	100	100	100	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase	1	1
L-lactate dehydrogenase 1	3	21	32	47	2	100	100	100	100	100	L-lactate dehydrogenase 1	1	1
L-lactate dehydrogenase 2	3	21	32	47	2	100	100	100	100	100	L-lactate dehydrogenase 2	1	1
L-lactate permease	3	21	32	47	2	100	100	100	100	100	L-lactate permease	1	1
L-Lysine--8-amino-7-oxononanoate transaminase	3	21	32	47	2	100	100	100	100	100	L-Lysine--8-amino-7-oxononanoate transaminase	1	1
L-methionine sulfoximine/L-methionine sulfone acetyltransferase	3	21	32	47	2	100	100	100	100	100	L-methionine sulfoximine/L-methionine sulfone acetyltransferase	1	1
L-serine dehydratase, alpha chain	3	21	32	47	2	100	100	100	100	100	L-serine dehydratase, alpha chain	1	1
L-serine dehydratase, beta chain	3	21	32	47	2	100	100	100	100	100	L-serine dehydratase, beta chain	1	1
L-threonine dehydratase biosynthetic IlvA	3	21	32	47	2	100	100	100	100	100	L-threonine dehydratase biosynthetic IlvA	1	1
L-threonine dehydratase catabolic TdcB	3	21	32	47	2	100	100	100	100	100	L-threonine dehydratase catabolic TdcB	1	1
Laccase domain protein YfiH	3	21	32	47	2	100	100	100	100	100	Laccase domain protein YfiH	1	1
Lactococcin-G-processing and transport ATP-binding protein LagD	1	0	1	3	0	33.3333333333333	0	0	3.125	6.38297872340426	Lactococcin-G-processing and transport ATP-binding protein LagD	0.173734797008587	1
Lactonase drp35	3	21	32	47	2	100	100	100	100	100	Lactonase drp35	1	1
Lactose phosphotransferase system repressor	3	21	32	47	2	100	100	100	100	100	Lactose phosphotransferase system repressor	1	1
Lactose transport system permease protein LacF	0	0	0	1	0	0	0	0	0	2.12765957446809	Lactose transport system permease protein LacF	0.663739357617866	1
Large-conductance mechanosensitive channel	3	21	32	47	2	100	100	100	100	100	Large-conductance mechanosensitive channel	1	1
Leucine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Leucine--tRNA ligase	1	1
LexA repressor	3	21	32	47	2	100	100	100	100	100	LexA repressor	1	1
Limonene 1,2-monooxygenase	3	21	32	47	2	100	100	100	100	100	Limonene 1,2-monooxygenase	1	1
Lincosamide resistance protein	0	0	1	1	0	0	0	0	3.125	2.12765957446809	Lincosamide resistance protein	0.765385262637543	1
Lipase 1	3	21	32	47	2	100	100	100	100	100	Lipase 1	1	1
Lipase 2	3	21	32	44	2	100	100	100	100	93.6170212765958	Lipase 2	0.185860042674732	1
Lipid II flippase MurJ	3	21	32	47	2	100	100	100	100	100	Lipid II flippase MurJ	1	1
Lipid II:glycine glycyltransferase	3	21	32	47	2	100	100	100	100	100	Lipid II:glycine glycyltransferase	1	1
Lipoate--protein ligase 1	3	21	32	47	2	100	100	100	100	100	Lipoate--protein ligase 1	1	1
Lipoate--protein ligase 2	3	21	32	47	2	100	100	100	100	100	Lipoate--protein ligase 2	1	1
Lipopolysaccharide assembly protein B	3	21	32	47	2	100	100	100	100	100	Lipopolysaccharide assembly protein B	1	1
Lipoprotein E	3	21	32	47	2	100	100	100	100	100	Lipoprotein E	1	1
Lipoprotein signal peptidase	3	21	32	47	2	100	100	100	100	100	Lipoprotein signal peptidase	1	1
Lipoteichoic acid synthase	3	21	32	47	2	100	100	100	100	100	Lipoteichoic acid synthase	1	1
Lipoyl synthase	3	21	32	46	2	100	100	100	100	97.8723404255319	Lipoyl synthase	0.663739357617865	1
LOG family protein YvdD	3	21	32	47	2	100	100	100	100	100	LOG family protein YvdD	1	1
Long-chain-fatty-acid--CoA ligase	3	21	32	47	2	100	100	100	100	100	Long-chain-fatty-acid--CoA ligase	1	1
Low molecular weight protein-tyrosine-phosphatase PtpA	3	21	32	47	2	100	100	100	100	100	Low molecular weight protein-tyrosine-phosphatase PtpA	1	1
Low molecular weight protein-tyrosine-phosphatase PtpB	3	21	32	47	2	100	100	100	100	100	Low molecular weight protein-tyrosine-phosphatase PtpB	1	1
Low specificity L-threonine aldolase	3	21	32	46	2	100	100	100	100	97.8723404255319	Low specificity L-threonine aldolase	0.663739357617867	1
Low-affinity inorganic phosphate transporter 1	3	21	32	47	2	100	100	100	100	100	Low-affinity inorganic phosphate transporter 1	1	1
Lysine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Lysine--tRNA ligase	1	1
Lysine-specific permease	3	21	32	47	2	100	100	100	100	100	Lysine-specific permease	1	1
Lysostaphin	0	1	7	9	0	0	4.76190476190476	0	21.875	19.1489361702128	Lysostaphin	0.194414622440443	1
Lysostaphin resistance protein A	3	21	32	47	2	100	100	100	100	100	Lysostaphin resistance protein A	1	1
Magnesium and cobalt efflux protein CorC	3	21	32	47	2	100	100	100	100	100	Magnesium and cobalt efflux protein CorC	1	1
Magnesium transporter MgtE	3	21	32	47	2	100	100	100	100	100	Magnesium transporter MgtE	1	1
Malate-2H( )/Na( )-lactate antiporter	3	21	32	47	2	100	100	100	100	100	Malate-2H( )/Na( )-lactate antiporter	1	1
Malonyl CoA-acyl carrier protein transacylase	3	21	32	47	2	100	100	100	100	100	Malonyl CoA-acyl carrier protein transacylase	1	1
Maltose O-acetyltransferase	3	21	32	47	2	100	100	100	100	100	Maltose O-acetyltransferase	1	1
Maltose transport system permease protein MalF	3	21	32	47	2	100	100	100	100	100	Maltose transport system permease protein MalF	1	1
Maltose transport system permease protein MalG	3	21	32	47	2	100	100	100	100	100	Maltose transport system permease protein MalG	1	1
Manganese transport system membrane protein MntB	3	21	32	47	2	100	100	100	100	100	Manganese transport system membrane protein MntB	1	1
Manganese-binding lipoprotein MntA	3	21	32	47	2	100	100	100	100	100	Manganese-binding lipoprotein MntA	1	1
Mannitol-1-phosphate 5-dehydrogenase	3	21	32	47	2	100	100	100	100	100	Mannitol-1-phosphate 5-dehydrogenase	1	1
Mannitol-specific phosphotransferase enzyme IIA component	3	21	32	47	2	100	100	100	100	100	Mannitol-specific phosphotransferase enzyme IIA component	1	1
Mannosylglucosyl-3-phosphoglycerate phosphatase	3	21	32	47	2	100	100	100	100	100	Mannosylglucosyl-3-phosphoglycerate phosphatase	1	1
Melibiose operon regulatory protein	3	21	32	47	2	100	100	100	100	100	Melibiose operon regulatory protein	1	1
Membrane protein insertase YidC	3	21	32	47	2	100	100	100	100	100	Membrane protein insertase YidC	1	1
Membrane protein YdfJ	3	21	32	47	2	100	100	100	100	100	Membrane protein YdfJ	1	1
Membrane-associated protein TcaA	3	21	32	47	2	100	100	100	100	100	Membrane-associated protein TcaA	1	1
Mercuric reductase	1	0	1	3	0	33.3333333333333	0	0	3.125	6.38297872340426	Mercuric reductase	0.173734797008587	1
Mercuric resistance operon regulatory protein	1	0	2	3	0	33.3333333333333	0	0	6.25	6.38297872340426	Mercuric resistance operon regulatory protein	0.198131498254894	1
Metal-binding protein ZinT	3	21	32	47	2	100	100	100	100	100	Metal-binding protein ZinT	1	1
Methionine aminopeptidase	3	21	32	47	2	100	100	100	100	100	Methionine aminopeptidase	1	1
Methionine import ATP-binding protein MetN	3	21	32	47	2	100	100	100	100	100	Methionine import ATP-binding protein MetN	1	1
Methionine import ATP-binding protein MetN 2	3	21	32	47	2	100	100	100	100	100	Methionine import ATP-binding protein MetN 2	1	1
Methionine import system permease protein MetP	3	21	32	47	2	100	100	100	100	100	Methionine import system permease protein MetP	1	1
Methionine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Methionine--tRNA ligase	1	1
Methionine-binding lipoprotein MetQ	3	21	32	47	2	100	100	100	100	100	Methionine-binding lipoprotein MetQ	1	1
Methionyl-tRNA formyltransferase	3	21	32	47	2	100	100	100	100	100	Methionyl-tRNA formyltransferase	1	1
Methylated-DNA--protein-cysteine methyltransferase	3	21	32	47	2	100	100	100	100	100	Methylated-DNA--protein-cysteine methyltransferase	1	1
Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	3	21	32	47	2	100	100	100	100	100	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	1	1
Mini-ribonuclease 3	3	21	32	47	2	100	100	100	100	100	Mini-ribonuclease 3	1	1
Mobilization protein A	0	0	3	4	0	0	0	0	9.375	8.51063829787234	Mobilization protein A	0.274265439499277	1
Modification methylase HpaII	0	0	0	0	1	0	0	50	0	0	Modification methylase HpaII	1	1
Molecular chaperone Hsp31 and glyoxalase 3	3	21	32	47	2	100	100	100	100	100	Molecular chaperone Hsp31 and glyoxalase 3	1	1
Molybdate-binding periplasmic protein	3	21	32	47	2	100	100	100	100	100	Molybdate-binding periplasmic protein	1	1
Molybdenum cofactor biosynthesis protein B	3	21	32	47	2	100	100	100	100	100	Molybdenum cofactor biosynthesis protein B	1	1
Molybdenum transport system permease protein ModB	3	21	32	47	2	100	100	100	100	100	Molybdenum transport system permease protein ModB	1	1
Molybdopterin molybdenumtransferase	3	21	32	47	2	100	100	100	100	100	Molybdopterin molybdenumtransferase	1	1
Molybdopterin synthase catalytic subunit	3	21	32	47	2	100	100	100	100	100	Molybdopterin synthase catalytic subunit	1	1
Molybdopterin synthase sulfur carrier subunit	3	21	32	47	2	100	100	100	100	100	Molybdopterin synthase sulfur carrier subunit	1	1
Molybdopterin-guanine dinucleotide biosynthesis adapter protein	3	21	32	47	2	100	100	100	100	100	Molybdopterin-guanine dinucleotide biosynthesis adapter protein	1	1
Molybdopterin-synthase adenylyltransferase	3	21	32	47	2	100	100	100	100	100	Molybdopterin-synthase adenylyltransferase	1	1
Monoacylglycerol lipase	3	21	32	46	2	100	100	100	100	97.8723404255319	Monoacylglycerol lipase	0.663739357617868	1
Monofunctional glycosyltransferase	3	21	32	47	2	100	100	100	100	100	Monofunctional glycosyltransferase	1	1
Multidrug efflux pump SdrM	3	21	32	47	2	100	100	100	100	100	Multidrug efflux pump SdrM	1	1
Multidrug export protein EmrB	3	21	32	47	2	100	100	100	100	100	Multidrug export protein EmrB	1	1
Multidrug export protein MepA	3	21	32	47	2	100	100	100	100	100	Multidrug export protein MepA	1	1
Multidrug resistance ABC transporter ATP-binding/permease protein BmrA	3	21	32	47	2	100	100	100	100	100	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA	1	1
Multidrug resistance efflux pump SepA	3	21	32	47	2	100	100	100	100	100	Multidrug resistance efflux pump SepA	1	1
Multidrug resistance protein MdtG	3	21	32	47	2	100	100	100	100	100	Multidrug resistance protein MdtG	1	1
Multidrug resistance protein MdtH	3	21	32	47	2	100	100	100	100	100	Multidrug resistance protein MdtH	1	1
Multiple antibiotic resistance protein MarA	3	21	32	47	2	100	100	100	100	100	Multiple antibiotic resistance protein MarA	1	1
Mycothiol acetyltransferase	3	21	32	47	2	100	100	100	100	100	Mycothiol acetyltransferase	1	1
N utilization substance protein B 	3	21	32	47	2	100	100	100	100	100	N utilization substance protein B 	1	1
N-(5'-phosphoribosyl)anthranilate isomerase	3	21	32	47	2	100	100	100	100	100	N-(5'-phosphoribosyl)anthranilate isomerase	1	1
N-acetyl-alpha-D-glucosaminyl L-malate synthase	3	21	32	47	2	100	100	100	100	100	N-acetyl-alpha-D-glucosaminyl L-malate synthase	1	1
N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	3	21	32	47	2	100	100	100	100	100	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	1	1
N-acetyl-gamma-glutamyl-phosphate reductase	3	21	32	47	2	100	100	100	100	100	N-acetyl-gamma-glutamyl-phosphate reductase	1	1
N-acetylglucosamine-6-phosphate deacetylase	3	21	32	47	2	100	100	100	100	100	N-acetylglucosamine-6-phosphate deacetylase	1	1
N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	3	21	32	47	2	100	100	100	100	100	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	1	1
N-acetylmuramic acid 6-phosphate etherase	3	21	32	47	2	100	100	100	100	100	N-acetylmuramic acid 6-phosphate etherase	1	1
N-acetylmuramoyl-L-alanine amidase domain-containing protein	3	21	32	47	2	100	100	100	100	100	N-acetylmuramoyl-L-alanine amidase domain-containing protein	1	1
N-acetylmuramoyl-L-alanine amidase LytC	3	21	32	47	2	100	100	100	100	100	N-acetylmuramoyl-L-alanine amidase LytC	1	1
N-acetylmuramoyl-L-alanine amidase sle1	3	21	32	47	2	100	100	100	100	100	N-acetylmuramoyl-L-alanine amidase sle1	1	1
N-acetylneuraminate lyase	3	21	32	47	2	100	100	100	100	100	N-acetylneuraminate lyase	1	1
N-acyl-L-amino acid amidohydrolase	0	1	0	0	0	0	4.76190476190476	0	0	0	N-acyl-L-amino acid amidohydrolase	0.359066896152729	1
N-alpha-acetyltransferase RimI	3	21	32	47	2	100	100	100	100	100	N-alpha-acetyltransferase RimI	1	1
N-carbamoylsarcosine amidase	3	21	32	47	2	100	100	100	100	100	N-carbamoylsarcosine amidase	1	1
N-hydroxyarylamine O-acetyltransferase	3	21	32	47	2	100	100	100	100	100	N-hydroxyarylamine O-acetyltransferase	1	1
N-succinylglutamate 5-semialdehyde dehydrogenase	0	1	0	0	0	0	4.76190476190476	0	0	0	N-succinylglutamate 5-semialdehyde dehydrogenase	0.359066896152729	1
N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase	3	21	32	47	2	100	100	100	100	100	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase	1	1
N5-carboxyaminoimidazole ribonucleotide mutase	3	21	32	47	2	100	100	100	100	100	N5-carboxyaminoimidazole ribonucleotide mutase	1	1
N5-carboxyaminoimidazole ribonucleotide synthase	3	21	32	47	2	100	100	100	100	100	N5-carboxyaminoimidazole ribonucleotide synthase	1	1
Na( )/H( ) antiporter subunit A	3	19	31	47	2	100	90.4761904761905	100	96.875	100	Na( )/H( ) antiporter subunit A	0.170345974482555	1
Na( )/H( ) antiporter subunit A1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit A1	1	1
Na( )/H( ) antiporter subunit B1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit B1	1	1
Na( )/H( ) antiporter subunit C	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit C	1	1
Na( )/H( ) antiporter subunit C1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit C1	1	1
Na( )/H( ) antiporter subunit D	0	1	0	0	0	0	4.76190476190476	0	0	0	Na( )/H( ) antiporter subunit D	0.359066896152729	1
Na( )/H( ) antiporter subunit D1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit D1	1	1
Na( )/H( ) antiporter subunit E	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit E	1	1
Na( )/H( ) antiporter subunit E1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit E1	1	1
Na( )/H( ) antiporter subunit F	3	19	32	47	2	100	90.4761904761905	100	100	100	Na( )/H( ) antiporter subunit F	0.0889331783504611	1
Na( )/H( ) antiporter subunit F1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit F1	1	1
Na( )/H( ) antiporter subunit G1	3	21	32	47	2	100	100	100	100	100	Na( )/H( ) antiporter subunit G1	1	1
Na( )/H( )-K( ) antiporter GerN	3	21	32	47	2	100	100	100	100	100	Na( )/H( )-K( ) antiporter GerN	1	1
NAD kinase	3	21	32	47	2	100	100	100	100	100	NAD kinase	1	1
NAD-dependent malic enzyme	3	21	32	47	2	100	100	100	100	100	NAD-dependent malic enzyme	1	1
NAD-dependent protein deacetylase	3	21	32	47	2	100	100	100	100	100	NAD-dependent protein deacetylase	1	1
NAD-specific glutamate dehydrogenase	3	21	32	47	2	100	100	100	100	100	NAD-specific glutamate dehydrogenase	1	1
NAD( )--arginine ADP-ribosyltransferase EFV	0	1	6	7	1	0	4.76190476190476	50	18.75	14.8936170212766	NAD( )--arginine ADP-ribosyltransferase EFV	0.334382015995478	1
NAD(P)-dependent benzaldehyde dehydrogenase	3	21	31	47	2	100	100	100	96.875	100	NAD(P)-dependent benzaldehyde dehydrogenase	0.501156705795976	1
NAD(P)H-dependent FAD/FMN reductase	3	21	32	47	2	100	100	100	100	100	NAD(P)H-dependent FAD/FMN reductase	1	1
NADH dehydrogenase-like protein	3	21	32	47	2	100	100	100	100	100	NADH dehydrogenase-like protein	1	1
NADH dehydrogenase-like protein YjlD	3	21	32	47	2	100	100	100	100	100	NADH dehydrogenase-like protein YjlD	1	1
NADH pyrophosphatase	3	21	32	47	2	100	100	100	100	100	NADH pyrophosphatase	1	1
NADH-quinone oxidoreductase subunit L	3	21	32	47	2	100	100	100	100	100	NADH-quinone oxidoreductase subunit L	1	1
NADP-dependent 7-alpha-hydroxysteroid dehydrogenase	0	0	1	0	0	0	0	0	3.125	0	NADP-dependent 7-alpha-hydroxysteroid dehydrogenase	0.501156705795977	1
NADPH-dependent 7-cyano-7-deazaguanine reductase	3	21	32	47	2	100	100	100	100	100	NADPH-dependent 7-cyano-7-deazaguanine reductase	1	1
NADPH-dependent oxidoreductase	3	21	32	47	2	100	100	100	100	100	NADPH-dependent oxidoreductase	1	1
NH(3)-dependent NAD( ) synthetase	3	21	31	47	2	100	100	100	96.875	100	NH(3)-dependent NAD( ) synthetase	0.501156705795974	1
Nickel transport system permease protein NikB	3	21	32	47	2	100	100	100	100	100	Nickel transport system permease protein NikB	1	1
Nickel transport system permease protein NikC	0	1	0	0	0	0	4.76190476190476	0	0	0	Nickel transport system permease protein NikC	0.359066896152729	1
Nickel-binding periplasmic protein	3	21	32	47	2	100	100	100	100	100	Nickel-binding periplasmic protein	1	1
Nicotinate phosphoribosyltransferase pncB2	3	21	31	47	2	100	100	100	96.875	100	Nicotinate phosphoribosyltransferase pncB2	0.501156705795974	1
Nitrate reductase-like protein NarX	3	21	32	47	2	100	100	100	100	100	Nitrate reductase-like protein NarX	1	1
Nitric oxide reductase subunit B	2	2	3	7	1	66.6666666666667	9.52380952380952	50	9.375	14.8936170212766	Nitric oxide reductase subunit B	0.145838222358529	1
Nitric oxide synthase oxygenase	3	21	30	47	2	100	100	100	93.75	100	Nitric oxide synthase oxygenase	0.189870628386069	1
Nitrite reductase [NAD(P)H]	3	21	32	47	2	100	100	100	100	100	Nitrite reductase [NAD(P)H]	1	1
Nitrite transporter NirC	3	21	32	47	2	100	100	100	100	100	Nitrite transporter NirC	1	1
Nitronate monooxygenase	1	1	1	0	0	33.3333333333333	4.76190476190476	0	3.125	0	Nitronate monooxygenase	0.0949814460927798	1
Non-canonical purine NTP pyrophosphatase	3	21	32	47	2	100	100	100	100	100	Non-canonical purine NTP pyrophosphatase	1	1
Nuclease SbcCD subunit C	3	21	32	47	2	100	100	100	100	100	Nuclease SbcCD subunit C	1	1
Nuclease SbcCD subunit D	3	21	32	45	2	100	100	100	100	95.7446808510638	Nuclease SbcCD subunit D	0.363888350188412	1
Nucleoid occlusion factor SlmA	1	3	6	7	1	33.3333333333333	14.2857142857143	50	18.75	14.8936170212766	Nucleoid occlusion factor SlmA	0.852461104933268	1
Nucleoid occlusion protein	3	21	32	47	2	100	100	100	100	100	Nucleoid occlusion protein	1	1
Nucleoid-associated protein	3	21	32	47	2	100	100	100	100	100	Nucleoid-associated protein	1	1
Nucleoside diphosphate kinase	3	21	32	47	2	100	100	100	100	100	Nucleoside diphosphate kinase	1	1
Nucleoside permease NupC	3	21	32	47	2	100	100	100	100	100	Nucleoside permease NupC	1	1
Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG	3	21	32	47	2	100	100	100	100	100	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG	1	1
Nucleotide-binding protein	3	21	32	47	2	100	100	100	100	100	Nucleotide-binding protein	1	1
O-acetylserine dependent cystathionine beta-synthase	3	21	32	47	2	100	100	100	100	100	O-acetylserine dependent cystathionine beta-synthase	1	1
O-acetyltransferase OatA	3	21	32	47	2	100	100	100	100	100	O-acetyltransferase OatA	1	1
O-antigen biosynthesis glycosyltransferase WbnH	3	21	32	47	2	100	100	100	100	100	O-antigen biosynthesis glycosyltransferase WbnH	1	1
o-succinylbenzoate synthase	3	21	32	47	2	100	100	100	100	100	o-succinylbenzoate synthase	1	1
Octanoyl-[GcvH]:protein N-octanoyltransferase	3	21	32	47	2	100	100	100	100	100	Octanoyl-[GcvH]:protein N-octanoyltransferase	1	1
Octanoyltransferase LipM	3	21	32	47	2	100	100	100	100	100	Octanoyltransferase LipM	1	1
Oleate hydratase	3	21	32	47	2	100	100	100	100	100	Oleate hydratase	1	1
Oligo-1,6-glucosidase	3	21	32	47	2	100	100	100	100	100	Oligo-1,6-glucosidase	1	1
Oligoendopeptidase F, plasmid	3	21	32	47	2	100	100	100	100	100	Oligoendopeptidase F, plasmid	1	1
Oligopeptide transport ATP-binding protein OppD	3	21	32	47	2	100	100	100	100	100	Oligopeptide transport ATP-binding protein OppD	1	1
Oligopeptide transport ATP-binding protein OppF	3	21	32	47	2	100	100	100	100	100	Oligopeptide transport ATP-binding protein OppF	1	1
Oligopeptide transport system permease protein OppB	3	21	32	47	2	100	100	100	100	100	Oligopeptide transport system permease protein OppB	1	1
Oligopeptide transport system permease protein OppC	3	21	32	47	2	100	100	100	100	100	Oligopeptide transport system permease protein OppC	1	1
Omega-amino acid--pyruvate aminotransferase	0	0	1	0	0	0	0	0	3.125	0	Omega-amino acid--pyruvate aminotransferase	0.501156705795977	1
Opine dehydrogenase	3	21	32	47	2	100	100	100	100	100	Opine dehydrogenase	1	1
Organic hydroperoxide resistance protein-like protein	3	21	32	47	2	100	100	100	100	100	Organic hydroperoxide resistance protein-like protein	1	1
Ornithine aminotransferase 2	3	21	32	47	2	100	100	100	100	100	Ornithine aminotransferase 2	1	1
Ornithine carbamoyltransferase	3	21	32	46	2	100	100	100	100	97.8723404255319	Ornithine carbamoyltransferase	0.663739357617865	1
Ornithine carbamoyltransferase, catabolic	3	21	32	47	2	100	100	100	100	100	Ornithine carbamoyltransferase, catabolic	1	1
Ornithine racemase	3	21	32	47	2	100	100	100	100	100	Ornithine racemase	1	1
Orotate phosphoribosyltransferase	3	21	32	47	2	100	100	100	100	100	Orotate phosphoribosyltransferase	1	1
Orotidine 5'-phosphate decarboxylase	3	21	32	47	2	100	100	100	100	100	Orotidine 5'-phosphate decarboxylase	1	1
Oxidoreductase YdhF	3	21	32	47	2	100	100	100	100	100	Oxidoreductase YdhF	1	1
Oxygen regulatory protein NreC	3	21	32	47	2	100	100	100	100	100	Oxygen regulatory protein NreC	1	1
Oxygen sensor histidine kinase NreB	3	21	32	47	2	100	100	100	100	100	Oxygen sensor histidine kinase NreB	1	1
Oxygen-dependent choline dehydrogenase	3	21	32	47	2	100	100	100	100	100	Oxygen-dependent choline dehydrogenase	1	1
Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR	3	21	32	47	2	100	100	100	100	100	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR	1	1
p-aminobenzoyl-glutamate hydrolase subunit B	3	18	31	42	2	100	85.7142857142857	100	96.875	89.3617021276596	p-aminobenzoyl-glutamate hydrolase subunit B	0.378751664832796	1
p-aminobenzoyl-glutamate transport protein	3	21	32	47	2	100	100	100	100	100	p-aminobenzoyl-glutamate transport protein	1	1
P-protein	3	21	30	47	2	100	100	100	93.75	100	P-protein	0.189870628386069	1
Pantothenate precursors transporter PanS	3	21	32	47	2	100	100	100	100	100	Pantothenate precursors transporter PanS	1	1
Pantothenate synthetase	3	21	32	47	2	100	100	100	100	100	Pantothenate synthetase	1	1
Para-nitrobenzyl esterase	3	21	32	47	2	100	100	100	100	100	Para-nitrobenzyl esterase	1	1
Penicillin acylase	3	21	32	47	2	100	100	100	100	100	Penicillin acylase	1	1
Penicillin-binding protein 1A	3	21	32	47	2	100	100	100	100	100	Penicillin-binding protein 1A	1	1
Penicillin-binding protein 1A/1B	3	21	32	47	2	100	100	100	100	100	Penicillin-binding protein 1A/1B	1	1
Penicillin-binding protein 2B	3	21	32	47	2	100	100	100	100	100	Penicillin-binding protein 2B	1	1
Penicillin-binding protein H	3	21	32	47	2	100	100	100	100	100	Penicillin-binding protein H	1	1
Peptidase T	3	21	32	47	2	100	100	100	100	100	Peptidase T	1	1
Peptide chain release factor 1	3	21	32	47	2	100	100	100	100	100	Peptide chain release factor 1	1	1
Peptide chain release factor 2	3	21	32	47	2	100	100	100	100	100	Peptide chain release factor 2	1	1
Peptide chain release factor 3	3	21	32	47	2	100	100	100	100	100	Peptide chain release factor 3	1	1
Peptide deformylase	3	21	32	46	2	100	100	100	100	97.8723404255319	Peptide deformylase	0.663739357617865	1
Peptide deformylase 1	3	21	32	47	2	100	100	100	100	100	Peptide deformylase 1	1	1
Peptide methionine sulfoxide reductase MsrA 1	3	21	32	47	2	100	100	100	100	100	Peptide methionine sulfoxide reductase MsrA 1	1	1
Peptide methionine sulfoxide reductase MsrA 2	3	21	32	47	2	100	100	100	100	100	Peptide methionine sulfoxide reductase MsrA 2	1	1
Peptide methionine sulfoxide reductase msrA/msrB	3	21	32	47	2	100	100	100	100	100	Peptide methionine sulfoxide reductase msrA/msrB	1	1
Peptide methionine sulfoxide reductase MsrB	3	21	32	47	2	100	100	100	100	100	Peptide methionine sulfoxide reductase MsrB	1	1
Peptidoglycan glycosyltransferase RodA	3	21	32	47	2	100	100	100	100	100	Peptidoglycan glycosyltransferase RodA	1	1
Peptidoglycan O-acetyltransferase	3	21	32	47	2	100	100	100	100	100	Peptidoglycan O-acetyltransferase	1	1
Peptidyl-tRNA hydrolase	3	21	32	47	2	100	100	100	100	100	Peptidyl-tRNA hydrolase	1	1
Peroxide-responsive repressor PerR	3	21	32	46	2	100	100	100	100	97.8723404255319	Peroxide-responsive repressor PerR	0.663739357617865	1
